iter	Logloss
0	0.6724590788
1	0.6529914467
2	0.6352426138
3	0.6187461961
4	0.6042195922
5	0.5911985265
6	0.5785128195
7	0.5664972684
8	0.5557931128
9	0.5458784431
10	0.5368074935
11	0.5287881718
12	0.5213081793
13	0.5141317423
14	0.5078393065
15	0.5020307392
16	0.4965486692
17	0.4915810308
18	0.4870030306
19	0.483063994
20	0.4792344761
21	0.4755824828
22	0.4720665735
23	0.4692342317
24	0.4663324638
25	0.4635869825
26	0.4607604762
27	0.4583111847
28	0.4560551279
29	0.4540799659
30	0.4523824454
31	0.4505726062
32	0.4488041407
33	0.4473124064
34	0.4459517302
35	0.4445437302
36	0.4431898738
37	0.4420783447
38	0.4411997354
39	0.4401684052
40	0.4392046601
41	0.4382511025
42	0.4374530661
43	0.4365225134
44	0.43571913
45	0.4349279622
46	0.4342998527
47	0.4336062219
48	0.4330631722
49	0.4323939954
50	0.4318941064
51	0.4313628672
52	0.4308569975
53	0.4304338231
54	0.4298656009
55	0.4295042308
56	0.4290579113
57	0.4286886397
58	0.4283330722
59	0.4279868989
60	0.4275306613
61	0.4271539954
62	0.4268215541
63	0.4265672455
64	0.4262717959
65	0.4259627051
66	0.4257154747
67	0.4254312037
68	0.4251156347
69	0.4248179255
70	0.4245960565
71	0.4243220132
72	0.4241345903
73	0.4237951108
74	0.4235584187
75	0.4233675495
76	0.4231410208
77	0.4229584957
78	0.4226789712
79	0.4224430211
80	0.4221733561
81	0.4219857633
82	0.4217858079
83	0.4215964486
84	0.4214002851
85	0.4210778235
86	0.4207907699
87	0.4206085262
88	0.4203629839
89	0.4201326615
90	0.4198859834
91	0.419695488
92	0.4195709696
93	0.4193946609
94	0.4192343153
95	0.4191222226
96	0.4189180601
97	0.418744952
98	0.4184840469
99	0.4182999518
100	0.4181480294
101	0.4179542366
102	0.4176989854
103	0.4175447718
104	0.4173048435
105	0.4171656756
106	0.4170018246
107	0.4169150046
108	0.4168230184
109	0.4166867206
110	0.4164601749
111	0.4163025331
112	0.4161602782
113	0.4160000022
114	0.4158838902
115	0.4157853959
116	0.4156797975
117	0.4155133337
118	0.4153957884
119	0.4152207015
120	0.4150996937
121	0.4149911173
122	0.4148209621
123	0.4146541547
124	0.4145267053
125	0.414373081
126	0.4142422019
127	0.4141032535
128	0.4139455407
129	0.4138393568
130	0.4137291865
131	0.4135921101
132	0.4134582375
133	0.4133231891
134	0.4131869394
135	0.4129938768
136	0.4128861038
137	0.4127791915
138	0.4125999325
139	0.412499414
140	0.4124042331
141	0.4122967602
142	0.4120962115
143	0.412020052
144	0.4118813086
145	0.4116464053
146	0.4115388234
147	0.4114437824
148	0.4112857433
149	0.41117893
150	0.4111242429
151	0.4110458501
152	0.4109587227
153	0.4108311219
154	0.4107269784
155	0.4106463431
156	0.4105176321
157	0.4104202728
158	0.4102354826
159	0.4100355068
160	0.4099359331
161	0.4097957609
162	0.4096570689
163	0.4095300361
164	0.4094926649
165	0.4094137822
166	0.4093159619
167	0.4091768775
168	0.4090845531
169	0.408945443
170	0.4088119585
171	0.4086905662
172	0.4086362981
173	0.408450265
174	0.4083484581
175	0.4081511854
176	0.4080896619
177	0.4079905653
178	0.4079033787
179	0.407803709
180	0.4077022886
181	0.4076395411
182	0.4075318867
183	0.4074689903
184	0.4073427585
185	0.4072989347
186	0.4071949283
187	0.4071177678
188	0.4070440244
189	0.4069211162
190	0.4068405802
191	0.4067452435
192	0.406672507
193	0.4065828272
194	0.4064918818
195	0.4063810904
196	0.4062494453
197	0.4061507673
198	0.4060140795
199	0.4059371119
200	0.4058494199
201	0.4057414942
202	0.4055934769
203	0.4054966174
204	0.4053604945
205	0.4052769406
206	0.4051513659
207	0.4050760777
208	0.404951764
209	0.4049096474
210	0.4048222049
211	0.4047148034
212	0.4046650674
213	0.4045405594
214	0.4044384845
215	0.4043216944
216	0.404176789
217	0.4040873004
218	0.4039215675
219	0.4038538887
220	0.403796762
221	0.4036758726
222	0.4036449703
223	0.4035680309
224	0.4034312469
225	0.403352882
226	0.4032569948
227	0.4031368228
228	0.4030646786
229	0.40300889
230	0.4028458877
231	0.4026656532
232	0.4026117171
233	0.4025416562
234	0.402430485
235	0.4023476092
236	0.4022260804
237	0.4020534405
238	0.4019721613
239	0.4019179984
240	0.4017639879
241	0.4015901049
242	0.4015032649
243	0.401442696
244	0.4013324418
245	0.4012432837
246	0.4011642405
247	0.4010371908
248	0.400937778
249	0.4008493621
250	0.4006844532
251	0.4006044506
252	0.4004522307
253	0.4003745642
254	0.4002972351
255	0.400249512
256	0.4001246501
257	0.3999913851
258	0.3998542491
259	0.3997440795
260	0.3996857891
261	0.3995541886
262	0.3994032886
263	0.3993178588
264	0.3991930148
265	0.3991443383
266	0.3990083111
267	0.3988563679
268	0.3988019735
269	0.3987005456
270	0.3985919866
271	0.3984735424
272	0.3983401655
273	0.3981873627
274	0.3981049697
275	0.3979663124
276	0.3978603068
277	0.3976900036
278	0.3976011064
279	0.3974732789
280	0.3973872231
281	0.3972485916
282	0.3971265853
283	0.3969920264
284	0.3968513079
285	0.3967520476
286	0.3966283818
287	0.3964986599
288	0.3963560167
289	0.3962595383
290	0.3961379347
291	0.3960374306
292	0.3959651892
293	0.3958647238
294	0.3957481339
295	0.3956574315
296	0.3955800509
297	0.3955084378
298	0.3953815722
299	0.3952458422
300	0.3951596581
301	0.3950465855
302	0.3949198915
303	0.3948129047
304	0.3947222363
305	0.3945797481
306	0.3944716563
307	0.3943370048
308	0.3941963809
309	0.3940838349
310	0.3940233746
311	0.3939332142
312	0.3938171491
313	0.3937270907
314	0.3935995021
315	0.3934444241
316	0.3933531463
317	0.3932609023
318	0.3931716082
319	0.3930910175
320	0.3930046944
321	0.392877422
322	0.3927686753
323	0.3926848974
324	0.3925777755
325	0.3924325667
326	0.3923905897
327	0.3923080872
328	0.392196629
329	0.3920678555
330	0.3919322576
331	0.3918504135
332	0.3917739553
333	0.3916569632
334	0.3915674849
335	0.3914054035
336	0.3912912759
337	0.3912017392
338	0.3910353152
339	0.3909383972
340	0.3907673631
341	0.3906827457
342	0.3905793999
343	0.3905043117
344	0.3904407319
345	0.3903368025
346	0.3902218209
347	0.3900682501
348	0.3899563269
349	0.3898783053
350	0.3897609975
351	0.3896461306
352	0.3895296453
353	0.3894703154
354	0.3893161241
355	0.3892710241
356	0.3891726279
357	0.3890561131
358	0.3888734259
359	0.3887609482
360	0.3887028071
361	0.3886031525
362	0.3884506371
363	0.3883382917
364	0.3882425521
365	0.3880842759
366	0.3880171637
367	0.38795897
368	0.387842941
369	0.3877538903
370	0.3876836963
371	0.3875972327
372	0.3874946763
373	0.38732371
374	0.3872001411
375	0.3870507438
376	0.3869563212
377	0.3868096432
378	0.3867137433
379	0.3866109546
380	0.3865284393
381	0.3863868015
382	0.3862588101
383	0.3861468489
384	0.3860325162
385	0.3859223224
386	0.3858515
387	0.3857441601
388	0.385655861
389	0.385540031
390	0.3854581529
391	0.3853810395
392	0.3852919014
393	0.385178556
394	0.3850925125
395	0.3850149642
396	0.3849414537
397	0.3848383264
398	0.3847576403
399	0.3846838133
400	0.3846158953
401	0.3844495693
402	0.3843669856
403	0.3842932796
404	0.3842028976
405	0.3840901175
406	0.3839881722
407	0.383880334
408	0.383802989
409	0.3837378229
410	0.3836183224
411	0.3835228006
412	0.3834481942
413	0.3833754671
414	0.3832295451
415	0.3831583102
416	0.3830572722
417	0.3829645473
418	0.3828607978
419	0.382782018
420	0.3826929639
421	0.382586988
422	0.3824772516
423	0.3824011903
424	0.3822829402
425	0.3822304545
426	0.3821121115
427	0.3820287281
428	0.3819476215
429	0.3818905087
430	0.3818197603
431	0.3816630392
432	0.3815000337
433	0.3814108556
434	0.3812938229
435	0.3812188393
436	0.3811273177
437	0.3810102696
438	0.3808930513
439	0.3807909123
440	0.3807130569
441	0.3806172301
442	0.3805430191
443	0.3803890235
444	0.3802475311
445	0.3801165253
446	0.3800542984
447	0.3799425145
448	0.379834285
449	0.379741424
450	0.3796196444
451	0.3795549037
452	0.379503982
453	0.3794030998
454	0.3792265197
455	0.3791513206
456	0.3790495274
457	0.3790077986
458	0.3789442301
459	0.3788175933
460	0.3786969321
461	0.3786054356
462	0.3784737434
463	0.3783933779
464	0.3782741825
465	0.3781826801
466	0.3780873807
467	0.3779654314
468	0.3778729106
469	0.3777811963
470	0.3776256537
471	0.3774956591
472	0.3774333122
473	0.3773055661
474	0.3772174656
475	0.3771647082
476	0.3770763487
477	0.3769543095
478	0.376852598
479	0.3766644263
480	0.3765216369
481	0.3764216462
482	0.3762904273
483	0.3762053719
484	0.3761477878
485	0.3760548482
486	0.3760051404
487	0.3759501712
488	0.3758174735
