iter	Passed	Remaining
0	18	18858
1	34	16985
2	46	15400
3	58	14665
4	70	14054
5	83	13777
6	95	13551
7	109	13537
8	122	13437
9	134	13356
10	146	13171
11	157	12948
12	166	12652
13	179	12636
14	193	12703
15	209	12902
16	225	13061
17	241	13173
18	256	13250
19	272	13341
20	286	13367
21	303	13493
22	319	13565
23	336	13702
24	351	13720
25	364	13665
26	379	13681
27	397	13802
28	415	13908
29	434	14041
30	451	14102
31	467	14151
32	483	14180
33	500	14231
34	515	14220
35	530	14195
36	546	14212
37	563	14273
38	578	14258
39	592	14228
40	604	14142
41	616	14068
42	630	14027
43	642	13969
44	653	13873
45	664	13778
46	675	13695
47	686	13617
48	695	13502
49	708	13457
50	721	13416
51	732	13350
52	745	13325
53	756	13260
54	770	13231
55	781	13180
56	794	13150
57	809	13141
58	821	13110
59	834	13066
60	850	13085
61	863	13062
62	878	13061
63	892	13059
64	908	13065
65	920	13029
66	931	12977
67	944	12946
68	958	12938
69	971	12908
70	983	12867
71	995	12829
72	1008	12807
73	1020	12770
74	1030	12708
75	1041	12667
76	1054	12638
77	1066	12602
78	1076	12551
79	1088	12518
80	1101	12497
81	1115	12489
82	1125	12439
83	1136	12394
84	1146	12337
85	1158	12316
86	1174	12328
87	1187	12309
88	1202	12305
89	1215	12285
90	1227	12260
91	1242	12260
92	1258	12274
93	1275	12297
94	1292	12311
95	1308	12318
96	1322	12316
97	1336	12299
98	1348	12270
99	1360	12241
100	1373	12227
101	1387	12214
102	1400	12200
103	1416	12202
104	1432	12206
105	1447	12206
106	1462	12206
107	1481	12233
108	1497	12240
109	1513	12243
110	1529	12251
111	1543	12238
112	1556	12221
113	1571	12211
114	1584	12193
115	1596	12169
116	1608	12137
117	1621	12121
118	1635	12105
119	1647	12081
120	1660	12065
121	1676	12064
122	1690	12055
123	1705	12046
124	1719	12036
125	1734	12031
126	1747	12014
127	1761	12001
128	1774	11980
129	1790	11981
130	1802	11960
131	1817	11948
132	1830	11935
133	1842	11910
134	1854	11881
135	1867	11862
136	1879	11837
137	1893	11827
138	1904	11797
139	1919	11792
140	1935	11788
141	1946	11759
142	1958	11735
143	1972	11723
144	1985	11705
145	1999	11695
146	2013	11681
147	2028	11676
148	2043	11669
149	2056	11651
150	2069	11634
151	2086	11637
152	2102	11636
153	2116	11625
154	2129	11611
155	2145	11606
156	2161	11604
157	2175	11594
158	2193	11602
159	2207	11587
160	2220	11571
161	2234	11561
162	2248	11543
163	2260	11522
164	2271	11496
165	2285	11483
166	2298	11464
167	2309	11438
168	2318	11402
169	2331	11384
170	2345	11371
171	2358	11353
172	2370	11330
173	2383	11315
174	2398	11308
175	2411	11291
176	2424	11275
177	2437	11255
178	2450	11237
179	2462	11218
180	2475	11202
181	2486	11176
182	2499	11160
183	2511	11137
184	2524	11121
185	2535	11094
186	2549	11084
187	2562	11069
188	2576	11056
189	2590	11042
190	2601	11019
191	2615	11007
192	2628	10991
193	2640	10971
194	2654	10958
195	2668	10946
196	2683	10937
197	2697	10928
198	2713	10924
199	2729	10917
200	2744	10908
201	2759	10900
202	2776	10899
203	2792	10895
204	2808	10891
205	2823	10880
206	2834	10858
207	2846	10838
208	2858	10817
209	2867	10787
210	2878	10762
211	2889	10740
212	2900	10718
213	2913	10701
214	2929	10695
215	2942	10679
216	2956	10667
217	2970	10657
218	2985	10646
219	2999	10634
220	3013	10620
221	3027	10611
222	3041	10596
223	3055	10583
224	3066	10563
225	3078	10543
226	3092	10530
227	3104	10511
228	3115	10490
229	3128	10474
230	3142	10460
231	3156	10448
232	3170	10436
233	3183	10420
234	3196	10405
235	3209	10390
236	3223	10377
237	3235	10359
